order_id,customer_id,product_id,order_date,quantity,total_amount,order_status,payment_mode
1001,101,201,2025-01-01,1,55000,Completed,UPI
1002,102,202,2025-01-02,2,50000,Completed,Credit Card
1003,103,203,2025-01-03,3,4500,Pending,Cash
1004,104,204,2025-01-04,1,7000,Completed,Debit Card
1005,105,205,2025-01-05,2,7000,Cancelled,UPI
1006,106,206,2025-01-06,1,2200,Completed,Net Banking
1007,107,207,2025-01-07,4,18000,Completed,UPI
1008,108,208,2025-01-08,2,3600,Pending,Cash
1009,101,202,2025-01-09,1,25000,Completed,Credit Card
1009,101,202,2025-01-09,1,25000,Completed,Credit Card
1010,,209,2025-01-10,,,Completed,
1011,110,210,2025-01-11,1,12000,Completed,UPI
1012,111,211,2025-01-12,5,1750,Completed,Cash
1013,999,212,2025-01-13,1,6500,Completed,UPI
1014,101,205,,2,7000,Completed,UPI
