product_id,product_name,category,brand,price,tax_percent,stock_quantity
201,Laptop,Electronics,Dell,55000,18,50
202,Mobile Phone,Electronics,Samsung,25000,18,120
203,Headphones,Accessories,Boat,1500,12,300
204,Office Chair,Furniture,Ikea,7000,18,40
205,Coffee Maker,Home Appliances,Philips,3500,18,80
206,Gaming Mouse,Accessories,Logitech,2200,12,150
207,Smart Watch,Wearables,Noise,4500,18,100
208,Keyboard,Accessories,,1800,12,200
208,Keyboard,Accessories,,1800,12,200
209,,Electronics,Sony,,18,
210,Monitor,Electronics,LG,12000,18,60
211,USB Cable,Accessories,Boat,350,,500
212,Air Fryer,Home Appliances,Philips,6500,18,
